,,,55746,55746,55970,55970,55976,55976,55986,55986,55987,55987,56003,56003
StartDate,StartTime,ElapsedTime,Temp,Activity,Temp,Activity,Temp,Activity,Temp,Activity,Temp,Activity,Temp,Activity
8/13/24,12:03:00 PM,0169:41:52.000,34.24,0.00,46.58,0.27,35.37,0.00,35.82,0.00,35.38,0.00,35.29,0.00
8/13/24,12:04:00 PM,0169:42:52.000,34.19,0.03,38.06,0.07,35.41,0.00,35.71,0.00,35.34,0.00,35.30,0.00
8/14/24,12:00:00 PM,0193:38:52.000,35.43,0.02,34.74,0.00,35.13,0.00,35.88,0.00,34.80,0.00,34.69,0.00
8/14/24,12:01:00 PM,0193:39:52.000,35.40,0.03,34.74,0.00,35.10,0.00,35.80,0.07,34.81,0.00,34.70,0.00
8/14/24,12:02:00 PM,0193:40:52.000,36.05,0.17,35.56,0.07,35.07,0.00,36.11,0.12,34.82,0.00,34.69,0.00
8/14/24,12:03:00 PM,0193:41:52.000,35.57,0.33,34.87,0.00,35.02,0.00,36.19,0.02,34.78,0.00,34.69,0.00
8/14/24,12:04:00 PM,0193:42:52.000,39.38,0.25,35.08,0.00,35.01,0.00,36.08,0.03,34.74,0.00,34.71,0.00
8/15/24,12:00:00 PM,0217:38:52.000,34.80,0.00,45.59,0.05,34.81,0.00,36.33,0.00,35.28,0.00,34.68,0.00
8/15/24,12:01:00 PM,0217:39:52.000,34.80,0.00,56.42,0.00,34.76,0.00,36.42,0.00,35.22,0.00,34.65,0.00
8/15/24,12:02:00 PM,0217:40:52.000,34.80,0.00,52.34,0.00,34.88,0.03,36.43,0.00,35.18,0.00,34.69,0.00
8/15/24,12:03:00 PM,0217:41:52.000,34.84,0.00,52.05,0.00,36.01,0.03,36.18,0.00,35.16,0.00,34.85,0.00
