Sample	CSU-TB-02194	CSU-TB-02195	CSU-TB-02196	CSU-TB-02197	CSU-TB-02198	CSU-TB-02199	CSU-TB-02200	CSU-TB-02201	CSU-TB-02202	CSU-TB-02203	CSU-TB-02204	CSU-TB-02205	CSU-TB-02206	CSU-TB-02207	CSU-TB-02423	CSU-TB-02424	CSU-TB-02425	CSU-TB-02426	CSU-TB-02427	CSU-TB-02428	CSU-TB-02430	CSU-TB-02431	CSU-TB-02433	CSU-TB-02434	CSU-TB-02435	CSU-TB-02436	CSU-TB-02437	CSU-TB-02442
Label	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Activation	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Incident	Activation	Incident	Incident
126.02968_4.7003	0.831196837	0.905392033	0.9175662	0.867819293	0.894894478	0.888018515	0.852111475	0.905847455	0.861319327	0.888963169	0.885719652	0.904277503	0.839930663	0.895107973	0.914949653	0.968348921	0.922575492	0.952423943	0.947389127	0.975405694	0.923795692	0.922417808	0.915961716	0.931067193	0.947947055	0.955982111	0.925093695	0.933615237
127.04671_9.8129	0.564978949	0.66914676	0.666930084	0.219109419	0.472644077	0.729707353	0.643935038	0.675767313	0.219407472	0.749175614	0.590572737	0.590821582	0.688816563	0.218982242	0.706844386	0.737202311	0.804556302	0.787890145	0.669737794	0.828426404	0.603074748	0.670329742	0.767439556	0.620537232	0.755173005	0.780475944	0.685774009	0.232350467
129.05449_8.8002	0.6050553	0.699507657	0.938428143	0.672635708	0.78567565	0.825463594	0.789036534	0.734508967	0.767828177	0.982064861	0.888535023	0.694466254	0.731043882	0.809792069	0.897992543	0.989408322	0.93234672	0.914055294	0.610612878	0.866194592	0.822244262	0.844367464	0.872594182	0.931292738	1.012743254	0.914321121	0.958994463	0.672494824
129.0623_8.8008	0.22914976	0.223281776	0.704459624	0.218058102	0.394337272	0.566538361	0.555071272	0.224328954	0.449413773	0.755392929	0.657360311	0.220289014	0.219093286	0.556244097	0.661015778	0.750183671	0.690019682	0.66841249	0.231207328	0.618557559	0.544993835	0.547511186	0.61594868	0.694654758	0.785324627	0.680126185	0.72208198	0.233226535
130.04975_14.2459	0.812683595	0.861875512	0.909334692	0.691402919	1.011722568	0.842310933	0.698665921	0.983475177	0.729442898	0.914473216	0.891859941	0.839491321	0.790027716	0.933894782	0.919183465	1.058017796	0.976421288	0.964416914	0.984295164	1.001571862	0.952263873	0.907027774	0.860594326	0.829483313	1.008576863	0.97640919	0.887572086	0.972557519
130.04978_3.3678	0.968467705	1.032311138	0.944064464	0.976314906	1.092379173	0.998137173	0.935718825	1.056846483	0.926942323	0.958897137	0.901774196	0.976781376	0.931229794	1.014695498	0.986958552	1.126526413	1.143870473	1.087521356	1.146866372	1.094676153	0.95781872	0.915363587	1.035982492	0.897159163	1.053546949	1.117092804	0.973984209	1.017686691
130.04996_13.8842	1.272620859	1.331878646	1.308151996	1.139610763	1.393774143	1.301680733	1.24757976	1.394900433	1.210968661	1.353932694	1.323796031	1.272475976	1.033020178	1.314032688	1.246053154	1.479244099	1.433806995	1.355921828	1.387551837	1.444659003	1.275651092	1.286668912	1.283263655	1.330469671	1.413556538	1.30975168	1.302808136	1.365389996
130.06502_14.8085	1.064700494	0.912333115	0.951010353	0.892664388	1.127329185	0.855173618	0.850913049	1.010168193	0.804707336	0.887116598	0.908803019	0.879283192	0.671313086	0.91427349	1.011955501	1.080819064	1.077635023	1.004299674	0.997328629	1.188020046	0.996969211	0.838574489	1.027620809	0.893817139	1.07183731	1.108699296	0.860473799	0.93611667
130.06503_18.6714	1.178285545	1.140016422	0.929607336	0.832195592	1.114444145	1.044178693	0.975649004	0.851036834	0.96066984	1.056680216	0.862683533	0.99557394	0.765540968	1.031885139	1.127743653	1.11357539	0.954401221	1.080955834	1.147513385	1.101083448	1.14752353	0.981945337	1.171474239	1.054804111	1.00918252	1.119277635	1.1241092	1.18950337
130.08617_1.3696	0.705420012	0.709958905	0.787930683	0.718474571	0.839575177	0.744028876	0.697550868	0.817349578	0.692987124	0.720369611	0.740460377	0.795875958	0.55342226	0.72241826	0.738079353	0.888033867	0.825600883	0.852361593	0.822837007	0.830307398	0.726260634	0.757474535	0.742694254	0.732115612	0.863924313	0.813752732	0.772150806	0.768051015
131.04906_18.497	0.997122845	0.958822362	1.041633191	0.824318502	0.896340571	0.98085258	1.017382499	1.223617205	1.040746952	1.141562387	1.115906925	1.053091922	0.527306438	0.84309141	1.068619834	1.263416608	1.179912343	1.095889738	1.208952594	1.220563734	1.110880122	1.098119859	1.045163739	1.080382344	1.199029324	1.037239879	1.187578043	1.190332643
131.04912_8.7449	0.879133291	0.980814083	0.96038043	0.834222679	1.002316386	0.916862731	0.869121154	0.988530025	0.830498092	0.976369787	0.945872752	0.956904345	0.914516797	0.896510553	0.910321162	1.04855854	0.969231675	1.023795174	1.056585848	1.022896365	0.935473647	0.898940584	0.933293835	0.913213218	1.017963701	1.06092529	0.870388528	0.958032025
131.05672_18.4973	0.767279725	0.730101737	0.811923212	0.573388504	0.562425341	0.755898042	0.797771192	0.952300626	0.818260226	0.898016186	0.879250398	0.826138288	0.23379574	0.609493979	0.836564326	0.992650447	0.936059999	0.860938662	0.955649028	0.963808628	0.879645001	0.862755571	0.807472589	0.85000461	0.947847295	0.806688688	0.942416459	0.943580819
